Position,Team,Card Points,True Card Points,Card Points Difference
1,FC Augsburg,26,64,-38
2,Bayer Leverkusen,37,73,-36
3,Werder Bremen,19,53,-34
4,VfL Wolfsburg,36,68,-32
5,Borussia Monchengladbach,6,37,-31
6,Mainz 05,40,70,-30
7,Eintracht Frankfurt,54,76,-22
8,Borussia Dortmund,36,54,-18
9,Bayern Munich,6,23,-17
10,Hamburger SV,35,52,-17
11,FC Koln,6,23,-17
12,1899 Hoffenheim,11,24,-13
13,Hertha BSC,40,53,-13
14,Schalke 04,41,52,-11
15,VfB Stuttgart,27,34,-7
16,FC Nurnberg,18,23,-5
17,SC Freiburg,33,37,-4
18,Hannover 96,14,14,0
