League,Year,Revenue,Teams,Average
Premier League,2019,2253.8,4,563.45
Bundesliga,2019,1190.2,4,297.55
Serie A,2019,1133.4,4,283.35
La Liga,2019,1910.9,3,636.97
Premier League,2018,2119.6,4,529.90
Bundesliga,2018,1319.9,4,329.98
Serie A,2018,1060.2,4,265.05
La Liga,2018,1595.4,3,531.80
Premier League,2017,2129.8,4,532.45
Bundesliga,2017,1249.7,4,312.43
Serie A,2017,953.2,4,238.30
La Liga,2017,1468.9,3,489.63
Premier League,2016,1838.5,4,459.63
Bundesliga,2016,974.3,3,324.77
Serie A,2016,868.2,4,217.05
La Liga,2016,1324.9,3,441.63
Premier League,2015,1679.6,4,419.90
Bundesliga,2015,1083.2,4,270.80
Serie A,2015,857.9,4,214.48
La Liga,2015,1204,3,401.33
Premier League,2014,1327.8,4,331.95
Bundesliga,2014,1021,4,255.25
Serie A,2014,829.1,4,207.28
La Liga,2014,1237.5,4,309.38
Premier League,2013,1294.4,4,323.60
Bundesliga,2013,860.7,4,215.18
Serie A,2013,801.3,4,200.33
La Liga,2013,1214.6,4,303.65
Premier League,2012,1071.2,4,267.80
Bundesliga,2012,791.1,4,197.78
Serie A,2012,743.9,4,185.98
La Liga,2012,1146.9,4,286.73
