Game,Date,matchday,Competition,MOTM,2nd,3rd,4th
1860 Munich,2022-07-29T00:00:00Z,1,DFB-Pokal,Donyell Malen,Jude Bellingham,Nico Schlotterbeck,Karim Adeyemi
Bayer Leverkusen,2022-08-06T00:00:00Z,2,Bundesliga,Gregor Kobel,Nico Schlotterbeck,Jude Bellingham,Thomas Meunier
SC Freiburg,2022-08-12T00:00:00Z,3,Bundesliga,Jamie Bynoe-Gittens,Marius Wolf,Youssoufa Moukoko,Gregor Kobel
Werder Bremen,2022-08-20T00:00:00Z,4,Bundesliga,Nico Schlotterbeck,Jude Bellingham,Gregor Kobel,NA
Hertha Berlin,2022-08-27T00:00:00Z,5,Bundesliga,Salih Ozcan,Nico Schlotterbeck,Jude Bellingham,NA
Hoffenheim,2022-09-02T00:00:00Z,6,Bundesliga,Marco Reus,Julian Brandt,Nico Schlotterbeck,Jude Bellingham
FC Copenhagen,2022-09-06T00:00:00Z,7,Champions League,Gio Reyna,Marco Reus,Julian Brandt,Jude Bellingham
RB Leipzig,2022-09-10T00:00:00Z,8,Bundesliga,Gio Reyna,Marius Wolf,Anthony Modeste,NA
Manchester City,2022-09-14T00:00:00Z,9,Champions League,Mats Hummels,Jude Bellingham,Salih Ozcan,Marco Reus
Schalke,2022-09-17T00:00:00Z,10,Bundesliga,Youssoufa Moukoko,Jude Bellingham,Salih Ozcan,Marius Wolf
FC Köln,2022-10-01T00:00:00Z,11,Bundesliga,Julian Brandt,Jude Bellingham,Salih Ozcan,Thomas Meunier
Sevilla,2022-10-05T00:00:00Z,12,Champions League,Jude Bellingham,Alexander Meyer,Youssoufa Moukoko,NA
Bayern Munich,2022-10-08T00:00:00Z,13,Bundesliga,Youssoufa Moukoko,Nico Schlotterbeck,Anthony Modeste,Karim Adeyemi
Sevilla,2022-10-11T00:00:00Z,14,Champions League,Thomas Meunier,Jude Bellingham,Mats Hummels,Gregor Kobel
Union Berlin,2022-10-15T00:00:00Z,15,Bundesliga,Youssoufa Moukoko,Mats Hummels,Julian Brandt,Nico Schlotterbeck
Hannover,2022-10-19T00:00:00Z,16,DFB-Pokal,Gregor Kobel,Youssoufa Moukoko,Jude Bellingham,NA
VfB Stuttgart,2022-10-22T00:00:00Z,17,Bundesliga,Jude Bellingham,Niklas Sule,Gio Reyna,Youssoufa Moukoko
Manchester City,2022-10-25T00:00:00Z,18,Champions League,Mats Hummels,Gregor Kobel,Nico Schlotterbeck,NA
Frankfurt,2022-10-29T00:00:00Z,19,Bundesliga,Gregor Kobel,Mats Hummels,Nico Schlotterbeck,Niklas Sule
FC Copenhagen,2022-11-02T00:00:00Z,20,Champions League,Gregor Kobel,Thorgan Hazard,Julian Brandt,Youssoufa Moukoko
VfL Bochum,2022-11-05T00:00:00Z,21,Bundesliga,Youssoufa Moukoko,Gio Reyna,Nico Schlotterbeck,NA
Wolfsburg,2022-11-09T00:00:00Z,22,Bundesliga,Niklas Sule,Gregor Kobel,Julian Brandt,Donyell Malen
Borussia Monchengladbach,2022-11-12T00:00:00Z,23,Bundesliga,Julian Brandt,Donyell Malen,Gregor Kobel,NA
Augsburg,2023-01-22T00:00:00Z,24,Bundesliga,Jude Bellingham,Julian Brandt,Sebastien Haller,Gio Reyna
Mainz,2023-01-25T00:00:00Z,25,Bundesliga,Gio Reyna,Julian Ryerson,Emre Can,Sebastien Haller
Bayer Leverkusen,2023-01-29T00:00:00Z,26,Bundesliga,Gregor Kobel,Marius Wolf,Karim Adeyemi,Nico Schlotterbeck
Freiburg,2023-02-04T00:00:00Z,27,Bundesliga,Julian Brandt,Sebastien Haller,Karim Adeyemi,Rapha Guerreiro
VfL Bochum,2023-02-08T00:00:00Z,28,DFB-Pokal,Emre Can,Gregor Kobel,Jude Bellingham,Mats Hummels
Werder Bremen,2023-02-11T00:00:00Z,29,Bundesliga,Julian Brandt,Emre Can,Jude Bellingham,Niklas Sule
Chelsea,2023-02-15T00:00:00Z,30,Champions League,Gregor Kobel,Karim Adeyemi,Emre Can,Nico Schlotterbeck
Hertha Berlin,2023-02-19T00:00:00Z,31,Bundesliga,Karim Adeyemi,Marco Reus,Julian Brandt,Emre Can
Hoffenheim,2023-02-25T00:00:00Z,32,Bundesliga,Julian Brandt,Marco Reus,Gregor Kobel,Emre Can
RB Leipzig,2023-03-03T00:00:00Z,33,Bundesliga,Nico Schlotterbeck,Marco Reus,Emre Can,Alexander Meyer
Chelsea,2023-03-07T00:00:00Z,34,Champions League,Emre Can,Gio Reyna,Alexander Meyer,Jude Bellingham
Schalke,2023-03-11T00:00:00Z,35,Bundesliga,Nico Schlotterbeck,Rapha Guerreiro,Emre Can,Marius Wolf
FC Köln,2023-03-18T00:00:00Z,36,Bundesliga,Rapha Guerreiro,Donyell Malen,Marco Reus,Mahmoud Dahoud
Bayern Munich,2023-04-01T00:00:00Z,37,Bundesliga,Donyell Malen,Emre Can,Marius Wolf,Rapha Guerreiro
RB Leipzig,2023-04-05T00:00:00Z,38,DFB-Pokal,Gregor Kobel,Donyell Malen,Emre Can,Mats Hummels
Union Berlin,2023-04-08T00:00:00Z,39,Bundesliga,Rapha Guerreiro,Donyell Malen,Emre Can,Karim Adeyemi
VfB Stuttgart,2023-04-15T00:00:00Z,40,Bundesliga,Donyell Malen,Emre Can,Mats Hummels,Sebastien Haller
Frankfurt,2023-04-22T00:00:00Z,41,Bundesliga,Donyell Malen,Mats Hummels,Karim Adeyemi,Jude Bellingham
VfL Bochum,2023-04-28T00:00:00Z,42,Bundesliga,Karim Adeyemi,Mats Hummels,Niklas Sule,Donyell Malen
Wolfsburg,2023-05-07T00:00:00Z,43,Bundesliga,Karim Adeyemi,Julian Brandt,Jude Bellingham,Sebastien Haller
Borussia Monchengladbach,2023-05-13T00:00:00Z,44,Bundesliga,Sebastien Haller,Donyell Malen,Julian Brandt,Jude Bellingham
Augsburg,2023-05-21T00:00:00Z,45,Bundesliga,Sebastien Haller,Mats Hummels,Emre Can,Gregor Kobel
Mainz,2023-05-27T00:00:00Z,46,Bundesliga,Julien Duranville,Niklas Sule,Gio Reyna,Youssoufa Moukoko
