gameweek,team,opponent,opponent_spi,xg,xga
1,Schalke,Bayern Munich,93.4,0.2,5.1
2,Schalke,Werder Bremen,65.6,1.2,2.4
3,Schalke,RB Leipzig,85,0.1,3.2
4,Schalke,Union Berlin,69.3,0.3,0.9
5,Schalke,Dortmund,87.9,0.2,1.5
6,Schalke,Stuttgart,64.3,0.5,1.6
7,Schalke,Mainz 05,58.4,1.7,3.1
8,Schalke,Wolfsburg,72.7,0.8,2.1
1,Nimes,Brest,55.7,1.1,0.4
2,Nimes,Nantes,58.7,1.4,2.3
3,Nimes,Rennes,66.5,1.4,1.9
4,Nimes,Lyon,75.9,0.5,1.3
5,Nimes,Lens,61.1,0.6,1.4
6,Nimes,Montpellier,57.7,0.5,0.7
7,Nimes,PSG,87.6,0.1,4.3
8,Nimes,Bordeaux,57.4,0.9,2.3
9,Nimes,Metz,56.2,1.1,1.5
10,Nimes,Angers,58,1.5,3.2
11,Nimes,Reims,56.4,1.2,1.1
1,Dijon,Angers,58,0.5,2.1
2,Dijon,Lyon,75.9,0.4,4.9
3,Dijon,Brest,55.7,0.4,2
4,Dijon,Strasbourg,58.1,0.5,2
5,Dijon,Montpellier,57.7,1.5,2.4
6,Dijon,Bordeaux,57.4,0.3,1.5
7,Dijon,Rennes,66.5,0.9,1
8,Dijon,PSG,87.6,1.7,4.6
9,Dijon,Lorient,50.6,0.4,1.1
10,Dijon,Metz,56.2,2.3,2.4
11,Dijon,Lens,61.1,0.8,1.6
1,West Brom,Leicester City,79.8,0.5,2.2
2,West Brom,Everton,74,0.3,3.4
3,West Brom,Chelsea,86.7,1,2.2
4,West Brom,Southampton,74.2,0.1,1.2
5,West Brom,Burnley,66.7,1,1.1
6,West Brom,Brighton,72.1,0.6,0.7
7,West Brom,Fulham,61.8,0.5,1.5
8,West Brom,Tottenham,82.4,0.8,1.6
9,West Brom,Manchester Utd,84.1,0.6,2.5
