Position,Team,Total Points,True Table Points,Points Difference,Corrections Difference
1,Bayern Munich,943,953,-10,-37
2,Borussia Dortmund,768,775,-7,-19
3,Bayer Leverkusen,682,694,-12,-17
4,Schalke 04,641,626,15,13
5,VfL Wolfsburg,597,594,3,7
6,Werder Bremen,549,572,-23,-37
7,Borussia Monchengladbach,536,519,17,12
8,1899 Hoffenheim,505,516,-11,-10
9,VfB Stuttgart,489,508,-19,-15
10,Eintracht Frankfurt,470,468,2,-10
11,Hamburger SV,468,453,15,11
12,Mainz 05,445,448,-3,-9
13,Hannover 96,442,411,31,19
14,Hertha BSC,423,425,-2,-24
15,SC Freiburg,360,325,35,6
16,FC Augsburg,321,330,-9,3
17,FC Koln,305,314,-9,-18
18,FC Nurnberg,240,268,-28,-14
19,RB Leipzig,186,184,2,0
20,VfL Bochum,101,102,-1,-6
